id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
832833,CA,INDIVIDUAL,10+ years,Los Angeles Unified School District,A,MORTGAGE,11-08-2021,16-05-2021,12-11-2021,Fully Paid,12-12-2021,1042328,major purchase,A1," 36 months",Source Verified,54000,0.1207,42.23,0.0542,1400,25,1477
845575,MN,INDIVIDUAL,10+ years,Saint Paul Public Schools,A,MORTGAGE,11-08-2021,15-11-2021,12-03-2021,Fully Paid,12-04-2021,1056787,major purchase,A1," 36 months",Source Verified,70000,0.1394,90.48,0.0542,3000,23,3077
986844,MD,INDIVIDUAL,10+ years,paige Industrial Services,A,MORTGAGE,11-10-2021,16-05-2021,14-10-2021,Fully Paid,14-11-2021,1210824,major purchase,A1," 36 months",Source Verified,165000,0.0501,304.36,0.0603,10000,38,10957
711177,VA,INDIVIDUAL,10+ years,Bristol Virginia Public Schools,A,MORTGAGE,11-04-2021,12-08-2021,12-07-2021,Fully Paid,12-08-2021,904052,major purchase,A1," 36 months",Source Verified,53000,0.274,150.8,0.0542,5000,36,5277
738661,MD,INDIVIDUAL,10+ years,Sinai Hospital,A,MORTGAGE,11-05-2021,13-02-2021,13-02-2021,Fully Paid,13-03-2021,936090,major purchase,A2," 36 months",Source Verified,120000,0.0541,212.93,0.0599,7000,21,7542
801307,SC,INDIVIDUAL,10+ years,UPS,A,MORTGAGE,11-07-2021,16-04-2021,14-07-2021,Fully Paid,14-08-2021,1006872,major purchase,A2," 36 months",Source Verified,69000,0.136,197.72,0.0599,6500,29,7118
767418,GA,INDIVIDUAL,10+ years,Coffee County Board of Education,A,MORTGAGE,11-06-2021,16-05-2021,13-04-2021,Fully Paid,13-05-2021,968495,major purchase,A3," 36 months",Source Verified,65000,0.1494,191.41,0.0699,6200,43,6778
625471,WI,INDIVIDUAL,10+ years,City Of Milwaukee,A,MORTGAGE,10-12-2021,16-01-2021,13-03-2021,Fully Paid,13-04-2021,801557,major purchase,A4," 36 months",Source Verified,78200,0.0743,184.01,0.0654,6000,21,6581
767658,LA,INDIVIDUAL,10+ years,Source Environmental Svc Inc,A,MORTGAGE,11-06-2021,14-06-2021,14-06-2021,Fully Paid,14-07-2021,968807,major purchase,A4," 36 months",Source Verified,30000,0.2536,248.82,0.0749,8000,40,8957
880753,CA,INDIVIDUAL,10+ years,storm manufacturer,A,MORTGAGE,11-09-2021,14-06-2021,14-01-2021,Fully Paid,14-02-2021,1095797,major purchase,A5," 36 months",Source Verified,51600,0.1947,190.52,0.089,6000,13,6810
545345,KY,INDIVIDUAL,10+ years,Boone County Board of Education,A,MORTGAGE,10-08-2021,14-05-2021,13-09-2021,Fully Paid,13-10-2021,703358,major purchase,A5," 36 months",Source Verified,54000,0.2342,109.49,0.0788,3500,18,3942
526992,MI,INDIVIDUAL,10+ years,michigan pipe and valve,A,MORTGAGE,10-06-2021,13-06-2021,13-06-2021,Fully Paid,13-07-2021,681692,major purchase,A5," 36 months",Source Verified,45673.92,0.1159,218.97,0.0788,7000,17,7883
660519,CA,INDIVIDUAL,2 years,C.A.N. Transport,A,MORTGAGE,11-01-2021,14-01-2021,14-01-2021,Fully Paid,14-02-2021,844795,major purchase,A1," 36 months",Source Verified,39996,0.0876,75.4,0.0542,2500,27,2714
660531,KY,INDIVIDUAL,2 years,Hospital Corporation of America,A,MORTGAGE,11-01-2021,13-09-2021,13-09-2021,Fully Paid,13-10-2021,844809,major purchase,A1," 36 months",Source Verified,85000,0.021,150.8,0.0542,5000,31,5419
541531,OH,INDIVIDUAL,2 years,Conneaut Area City Schools,A,MORTGAGE,10-07-2021,13-07-2021,13-07-2021,Fully Paid,13-08-2021,698956,major purchase,A2," 36 months",Source Verified,50600,0.1589,261.53,0.0676,8500,45,9415
684676,MD,INDIVIDUAL,2 years,Interactive Softworks,A,MORTGAGE,11-02-2021,16-05-2021,14-03-2021,Fully Paid,14-04-2021,874176,major purchase,A5," 36 months",Source Verified,120000,0.1322,542.53,0.0766,17400,40,19531
666052,TX,INDIVIDUAL,3 years,Hurricane Engineering,A,MORTGAGE,11-02-2021,13-07-2021,13-06-2021,Fully Paid,13-07-2021,851559,major purchase,A3," 36 months",Source Verified,40000,0.0801,246.73,0.0692,8000,18,8832
545262,PA,INDIVIDUAL,3 years,crossett inc,A,MORTGAGE,10-07-2021,16-05-2021,13-08-2021,Fully Paid,13-09-2021,703263,major purchase,A3," 36 months",Source Verified,45000,0.1427,139.24,0.0714,4500,17,5013
735318,MN,INDIVIDUAL,3 years,Dorsey & Whitney,A,MORTGAGE,11-04-2021,14-12-2021,13-01-2021,Fully Paid,13-02-2021,931994,major purchase,A4," 36 months",Source Verified,41000,0.127,77.53,0.0729,2500,12,2729
988646,OH,INDIVIDUAL,4 years,JPMorgan Chase,A,MORTGAGE,11-10-2021,12-11-2021,12-11-2021,Fully Paid,12-12-2021,1212727,major purchase,A1," 36 months",Source Verified,75000,0.007,456.54,0.0603,15000,19,15695
867442,NJ,INDIVIDUAL,4 years,US ARMY,A,MORTGAGE,11-09-2021,16-02-2021,14-09-2021,Fully Paid,14-10-2021,1081042,major purchase,A1," 36 months",Source Verified,92259,0.0921,180.96,0.0542,6000,25,6515
538596,VA,INDIVIDUAL,4 years,Travelers Insurance,A,MORTGAGE,10-07-2021,11-07-2021,11-06-2021,Fully Paid,11-07-2021,695576,major purchase,A2," 36 months",Source Verified,56000,0.2494,92.31,0.0676,3000,30,3162
564492,UT,INDIVIDUAL,4 years,Medicity,A,MORTGAGE,10-08-2021,16-01-2021,12-09-2021,Fully Paid,12-10-2021,726312,major purchase,A2," 36 months",Source Verified,66000,0.0027,83.08,0.0676,2700,13,2955
781975,CA,INDIVIDUAL,4 years,Qualcomm,A,MORTGAGE,11-06-2021,16-05-2021,14-02-2021,Fully Paid,14-03-2021,984906,major purchase,A2," 36 months",Source Verified,97000,0.0547,491.26,0.0662,16000,23,17659
549412,CA,INDIVIDUAL,4 years,Tuolumne County Sheriff's Office,A,MORTGAGE,10-07-2021,13-03-2021,13-03-2021,Fully Paid,13-04-2021,708239,major purchase,A3," 36 months",Source Verified,60000,0.0232,247.53,0.0714,8000,9,8883
727701,MO,INDIVIDUAL,4 years,Xtiva Financial Systems,A,MORTGAGE,11-04-2021,16-05-2021,12-09-2021,Fully Paid,12-10-2021,923241,major purchase,A4," 36 months",Source Verified,150000,0.0657,223.28,0.0729,7200,24,7765
624649,WA,INDIVIDUAL,4 years,US ARMY,A,MORTGAGE,10-12-2021,11-01-2021,11-01-2021,Fully Paid,11-02-2021,800470,major purchase,A5," 36 months",Source Verified,41820,0.1039,77.09,0.0691,2500,15,2515
709193,CO,INDIVIDUAL,4 years,Elkhorn Construction,A,MORTGAGE,11-03-2021,16-05-2021,14-04-2021,Fully Paid,14-05-2021,901787,major purchase,A5," 36 months",Source Verified,144000,0.2032,458.35,0.0766,14700,41,16500
527432,MD,INDIVIDUAL,5 years,Southern States,A,MORTGAGE,10-06-2021,13-06-2021,13-06-2021,Fully Paid,13-07-2021,682232,major purchase,A3," 36 months",Source Verified,60000,0.0636,216.59,0.0714,7000,22,7798
585801,CA,INDIVIDUAL,5 years,Round Table Pizza,A,MORTGAGE,10-09-2021,15-07-2021,12-06-2021,Fully Paid,12-07-2021,752621,major purchase,A4," 36 months",Source Verified,19200,0.0163,124.45,0.0751,4000,4,4302
875350,FL,INDIVIDUAL,5 years,Southeastern University,A,MORTGAGE,11-09-2021,14-02-2021,14-02-2021,Fully Paid,14-03-2021,1089855,major purchase,A4," 36 months",Source Verified,34000,0.1098,124.41,0.0749,4000,7,4458
508198,FL,INDIVIDUAL,5 years,,A,MORTGAGE,10-05-2021,13-02-2021,13-01-2021,Fully Paid,13-02-2021,655649,major purchase,A5," 36 months",Source Verified,54000,0.1142,437.93,0.0788,14000,13,15738
568950,FL,INDIVIDUAL,5 years,Publix Supermarkets Inc.,A,MORTGAGE,10-09-2021,13-09-2021,13-09-2021,Fully Paid,13-10-2021,731909,major purchase,A5," 36 months",Source Verified,95000,0.1291,156.41,0.0788,5000,20,5631
984507,UT,INDIVIDUAL,6 years,Ashford University,A,MORTGAGE,11-10-2021,16-05-2021,14-10-2021,Fully Paid,14-11-2021,1208119,major purchase,A1," 36 months",Source Verified,33000,0.2676,182.62,0.0603,6000,23,6574
1012794,OH,INDIVIDUAL,6 years,Uhaul International,A,MORTGAGE,11-11-2021,12-06-2021,12-06-2021,Fully Paid,12-07-2021,1239952,major purchase,A2," 36 months",Source Verified,38400,0.1463,245.63,0.0662,8000,17,8285
785927,AL,INDIVIDUAL,6 years,The Citizens Bank of Valley Head,A,MORTGAGE,11-06-2021,15-12-2021,12-02-2021,Fully Paid,12-03-2021,989278,major purchase,A3," 36 months",Source Verified,45000,0.0851,154.37,0.0699,5000,14,5188
1015173,GA,INDIVIDUAL,7 years,Fiserv,A,MORTGAGE,11-11-2021,14-12-2021,14-12-2021,Fully Paid,14-01-2022,1242604,major purchase,A1," 36 months",Source Verified,37980,0.0496,106.53,0.0603,3500,11,3835
831589,AZ,INDIVIDUAL,7 years,MontaVista Software LLC/Cavium Networks,A,MORTGAGE,11-08-2021,14-08-2021,14-08-2021,Fully Paid,14-09-2021,1040830,major purchase,A1," 36 months",Source Verified,120000,0.0562,361.92,0.0542,12000,16,13029
784950,WY,INDIVIDUAL,8 years,Johnson County School District #1,A,MORTGAGE,11-07-2021,14-07-2021,14-07-2021,Fully Paid,14-08-2021,988208,major purchase,A1," 36 months",Source Verified,50000,0.1565,120.64,0.0542,4000,16,4343
695019,PA,INDIVIDUAL,8 years,Alcoa,A,MORTGAGE,11-03-2021,14-03-2021,14-03-2021,Fully Paid,14-04-2021,886006,major purchase,A1," 36 months",Source Verified,120000,0.0547,150.8,0.0542,5000,28,5429
737565,GA,INDIVIDUAL,9 years,Stephens County Hospital,A,MORTGAGE,11-04-2021,15-07-2021,11-09-2021,Fully Paid,11-10-2021,934763,major purchase,A2," 36 months",Source Verified,65000,0.058,166.8,0.0579,5500,37,5603
